Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Mary Poppins Returns,2018,PG,"Animation, Comedy, Family, Fantasy, Musical","Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",English,"USA, UK",tt5028340,"$171,958,438","Walt Disney Pictures, Lucamar"
,,,,,,,,,,
The Night Comes for Us,2018,TV-MA,"Action, Thriller","Joe Taslim, Iko Uwais, Julie Estelle, Hannah Al Rashid","Ito, a gangland enforcer, caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.","Indonesian, English, Mandarin, French","Indonesia, USA",tt6116856,N/A,N/A
Blood Father,2016,R,"Action, Crime, Drama, Thriller","Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,"English, Spanish",France,tt3647498,N/A,"Why Not Productions, Wild Bunch"
Stree,2018,Not Rated,"Comedy, Horror","Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Aparshakti Khurana","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",Hindi,India,tt8108202,N/A,Maddock Films
American Factory,2019,TV-14,Documentary,"Junming 'Jimmy' Wang, Robert Allen, Sherrod Brown, Dave Burrows","In post-industrial Ohio, a Chinese billionaire opens a factory in an abandoned General Motors plant, hiring two thousand Americans. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class America.","English, Mandarin",USA,tt9351980,N/A,Participant Media
Salt,2010,PG-13,"Action, Thriller","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"English, Russian, Korean",USA,tt0944835,"$118,311,368",Di Bonaventura Pictures
The Hundred-Foot Journey,2014,PG,"Comedy, Drama","Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,"English, Hindi, French","USA, India, United Arab Emirates",tt2980648,"$54,240,821","Amblin Entertainment, Harpo Films"
Scooby-Doo on Zombie Island,1998,TV-G,"Animation, Adventure, Comedy, Family, Fantasy, Mystery","Scott Innes, Billy West, Mary Kay Bergman, Frank Welker","The Mystery Gang reunite and visit Moonscar Island, a remote island with a dark secret. Daphne wants more than just a villain in a costume, and they get more than they ever expected.",English,USA,tt0166792,N/A,"Hanna-Barbera Productions, Warner Bros. Animation"
The End of the Tour,2015,R,"Biography, Drama","Jesse Eisenberg, Jason Segel, Mickey Sumner, Anna Chlumsky","The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'",English,USA,tt3416744,"$3,002,884",Anonymous Content
