Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Inception,2010,PG-13,"Action, Adventure, Sci-Fi, Thriller","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"English, Japanese, French","USA, UK",tt1375666,"$292,576,195","Syncopy, Warner Bros."
The Matrix,1999,R,"Action, Sci-Fi","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",English,USA,tt0133093,"$171,479,930","Village Roadshow Prod., Silver Pictures"
Avengers: Infinity War,2018,PG-13,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,English,USA,tt4154756,"$678,815,482",Marvel Studios
Back to the Future,1985,PG,"Adventure, Comedy, Sci-Fi","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",English,USA,tt0088763,"$211,406,762","Universal Pictures, Amblin Entertainment"
"The Good, the Bad and the Ugly",1966,R,Western,"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Italian,"Italy, Spain, West Germany, USA",tt0060196,"$25,100,000","Produzioni Europee Associati, Constantin Film"
Spider-Man: Into the Spider-Verse,2018,PG,"Animation, Action, Adventure, Family, Sci-Fi","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","English, Spanish",USA,tt4633694,"$190,241,310","Sony Pictures Animation, Avi Arad, Pascal Pictures, Lord Miller"
The Pianist,2002,R,"Biography, Drama, Music, War","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"English, German, Russian","UK, France, Poland, Germany, USA",tt0253474,"$32,572,577",Miramax
Django Unchained,2012,R,"Drama, Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","English, German, French, Italian",USA,tt1853728,"$162,805,434",A Band Apart
Indiana Jones and the Raiders of the Lost Ark,1981,PG,"Action, Adventure","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","English, German, Hebrew, Spanish, Arabic, Nepali",USA,tt0082971,"$248,159,971","Paramount Pictures, Lucasfilm Ltd."
Inglourious Basterds,2009,R,"Adventure, Drama, War","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","English, German, French, Italian","USA, Germany",tt0361748,"$120,540,719","A Band Apart, Zehnte Babelsberg"
Taxi Driver,1976,R,"Crime, Drama","Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","English, Spanish",USA,tt0075314,"$28,262,574","Columbia Pictures, Italo/Judeo Productions, Bill/Phillips"
3 Idiots,2009,PG-13,"Comedy, Drama","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Hindi, English",India,tt1187043,"$6,532,874",N/A
Pan's Labyrinth,2006,R,"Drama, Fantasy, War","Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Spanish,"Mexico, Spain",tt0457430,"$37,634,615","Warner Bros., Tequila Gang"
Room,2015,R,"Drama, Thriller","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",English,"Canada, Ireland, UK, USA",tt3170832,"$14,677,654","Element Pictures, No Trace Camping"
Monty Python and the Holy Grail,1975,PG,"Adventure, Comedy, Fantasy","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","English, French, Latin",UK,tt0071853,"$1,827,696","Michael White Productions, Python (Monty) Pictures Limited, National Film Trustee Company"
Once Upon a Time in the West,1968,PG-13,Western,"Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"English, Italian, Spanish","Italy, USA",tt0064116,"$5,321,508",Paramount Pictures
Indiana Jones and the Last Crusade,1989,PG-13,"Action, Adventure","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","English, German, Greek, Arabic","USA, UK",tt0097576,"$197,171,806","Paramount Pictures, Lucasfilm Ltd."
Groundhog Day,1993,PG,"Comedy, Fantasy, Romance","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",A weatherman finds himself inexplicably living the same day over and over again.,"English, French, Italian",USA,tt0107048,"$71,073,420",Columbia Pictures
The King's Speech,2010,R,"Biography, Drama, History","Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",English,"UK, USA, Australia",tt1504320,"$138,797,449","See-Saw Films, Bedlam Pictures"
Her,2013,R,"Drama, Romance, Sci-Fi","Joaquin Phoenix, Lynn Adrianna Freedman, Lisa Renee Pitts, Gabe Gomez","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",English,USA,tt1798709,"$25,568,251",Annapurna Pictures
There Will Be Blood,2007,R,Drama,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","English, American Sign Language",USA,tt0469494,"$40,222,514","Paramount Vantage, Miramax Films, Scott Rudin Productions, Ghoulardi Film Company"
The Social Network,2010,PG-13,"Biography, Drama","Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","English, French",USA,tt1285016,"$96,962,694","Scott Rudin Productions, Trigger Street Productions, Michael De Luca"
Dallas Buyers Club,2013,R,"Biography, Drama","Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","English, Japanese",USA,tt0790636,"$27,298,285","Voltage Pictures, Evolution Independent, R2 Films"
The Perks of Being a Wallflower,2012,PG-13,"Drama, Romance","Logan Lerman, Dylan McDermott, Kate Walsh, Patrick de Ledebur",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,English,USA,tt1659337,"$17,742,948",Mr. Mudd
Monty Python's Life of Brian,1979,R,Comedy,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","English, Latin",UK,tt0079470,"$20,206,622",Paramount
Ex Machina,2014,R,"Drama, Sci-Fi, Thriller","Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,English,UK,tt0470752,"$25,442,958",DNA Films
Silver Linings Playbook,2012,R,"Comedy, Drama, Romance","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",English,USA,tt1045658,"$132,092,958",Weinstein Company
District 9,2009,R,"Action, Sci-Fi, Thriller","Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho","South Africa, USA, New Zealand, Canada",tt1136608,"$115,646,235",WingNut Films
The Irishman,2019,R,"Biography, Crime, Drama","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel","An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.","English, Italian, Latin, Spanish, German",USA,tt1302006,N/A,Tribeca Productions
Moon,2009,R,"Drama, Mystery, Sci-Fi","Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","English, Spanish","UK, USA",tt1182345,"$5,010,163","Liberty Films UK, Limelight Fund, Xingu Films"
Marriage Story,2019,R,"Comedy, Drama, Romance","Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"English, Spanish","UK, USA",tt7653254,N/A,"Heyday Films, Netflix"
Drive,2011,R,"Crime, Drama","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,"English, Spanish",USA,tt0780504,"$35,061,555","Marc Platt Productions, Motel Movies"
Incredibles 2,2018,PG,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,English,USA,tt3606756,"$608,581,744","Pixar Animation Studios, Walt Disney Pictures"
Dangal,2016,Not Rated,"Action, Biography, Drama, Sport","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Sakshi Tanwar",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Hindi, English","India, USA, UK, Australia, Kenya, Namibia",tt5074352,"$12,391,761",Aamir Khan Productions
Klaus,2019,PG,"Animation, Adventure, Comedy, Family","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","English, Saami","Spain, UK, USA",tt4729430,N/A,"The SPA Studios, Atresmedia Cine"
Minority Report,2002,PG-13,"Action, Crime, Mystery, Sci-Fi, Thriller","Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.","English, Swedish",USA,tt0181689,"$132,072,926","DreamWorks SKG, Twentieth Century Fox, Cruise-Wagner Productions, Amblin Entertainment, Blue Tulip"
Mystic River,2003,R,"Crime, Drama, Mystery, Thriller","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,English,"USA, Australia",tt0327056,"$90,135,191","Village Roadshow Prod., Malpaso Company"
Like Stars on Earth,2007,PG,"Drama, Family","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Hindi,India,tt0986264,"$1,223,869",N/A
Ferris Bueller's Day Off,1986,PG-13,Comedy,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.","English, German",USA,tt0091042,"$70,136,369",Paramount Pictures
Despicable Me,2010,PG,"Animation, Comedy, Crime, Family, Fantasy","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",English,"USA, France, Japan",tt1323594,"$251,513,985","Chris Meledandri, Illumination Films"
Hell or High Water,2016,R,"Action, Crime, Drama, Thriller, Western","Dale Dickey, Ben Foster, Chris Pine, William Sterchi",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,English,USA,tt2582782,"$27,007,844","Odd Lot Entertainment, Sidney Kimmel Entertainment, LBI Entertainment, Film 44, CBS Films"
Sin City,1986,N/A,Adult,"Lois Ayres, Cheri Nicole, Barbara Dare, Billy Dee",N/A,English,USA,tt0183789,N/A,N/A
Ip Man,2013–,TV-MA,Action,Chrissie Chau,"Having been brought up in old traditional Foshan city, young Ip Man struggles to come to term with the ways of the modern Chinese city of Canton As the Northern and Southern Warlords ...","Cantonese, Mandarin",China,tt3969094,,
Indiana Jones and the Temple of Doom,1984,PG,"Action, Adventure","Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri","In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.","English, Sinhalese, Hindi",USA,tt0087469,"$179,870,271","Paramount Pictures, Lucasfilm Ltd."
The Theory of Everything,2014,PG-13,"Biography, Drama, Romance","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",A look at the relationship between the famous physicist Stephen Hawking and his wife.,"English, French","UK, Japan",tt2980516,"$35,893,537",Working Title Films
The Pursuit of Happyness,2006,PG-13,"Biography, Drama","Will Smith, Jaden Smith, Thandiwe Newton, Brian Howe",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"English, Cantonese",USA,tt0454921,"$163,566,459","Overbrook Entertainment, Columbia Pictures Corporation, Escape Artists"
Senna,2010,PG-13,"Documentary, Biography, Sport","Ayrton Senna, Reginaldo Leme, John Bisignano, Neide Senna","A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.","English, Portuguese, French, Japanese","UK, France, USA",tt1424432,"$1,612,430","Universal Pictures, Working Title Films, StudioCanal"
Scott Pilgrim vs. the World,2010,PG-13,"Action, Comedy, Fantasy, Romance","Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill","In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",English,"USA, UK, Canada, Japan",tt0446029,"$31,524,275","Marc Platt Productions, Big Talk"
Magnolia,1999,R,Drama,"Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn","An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.","English, German, French",USA,tt0175880,"$22,455,976","Ghoulardi Film Company, New Line Cinema, Magnolia Project"
The Hateful Eight,2015,R,"Crime, Drama, Mystery, Thriller, Western","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","English, Spanish, French",USA,tt3460252,"$54,117,416",A Band Apart
The Artist,2011,PG-13,"Comedy, Drama, Romance","Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"English, French","France, Belgium, USA",tt1655442,"$44,671,682","uFilm, France 3 Cinéma, Studio 37, JD Prod, La Petite Reine, Jouror Productions"
Moonlight,2016,R,Drama,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",English,USA,tt4975722,"$27,854,932","Plan B Entertainment, Upload Films, Pastel"
Back to the Future Part II,1989,PG,"Adventure, Comedy, Sci-Fi","Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",English,USA,tt0096874,"$119,000,002","Universal Pictures, Amblin Entertainment"
Willy Wonka & the Chocolate Factory,1971,G,"Family, Fantasy, Musical","Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear",A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,"English, French, German, Italian","USA, UK",tt0067992,"$526,633","David L. Wolper Productions, Quaker Oats Company"
What's Eating Gilbert Grape,1993,PG-13,Drama,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen",A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,English,USA,tt0108550,"$10,032,765","Paramount Pictures, J&amp;M Entertainment"
The Curious Case of Benjamin Button,2008,PG-13,"Drama, Fantasy, Romance","Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","English, Russian, French",USA,tt0421715,"$127,509,326",Kennedy/Marshall
Hugo,2011,PG,"Drama, Family, Fantasy, Mystery","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",English,"UK, USA, France",tt0970179,"$73,864,507",GK Films
Ant-Man and the Wasp,2018,PG-13,"Action, Adventure, Comedy, Sci-Fi","Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","English, Spanish",USA,tt5095030,"$216,648,740",Marvel Studios
As Good as It Gets,1997,PG-13,"Comedy, Drama, Romance","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",English,USA,tt0119822,"$148,478,011","TriStar Pictures, Gracie Films"
Back to the Future Part III,1990,PG,"Adventure, Comedy, Sci-Fi, Western","Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson","Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",English,USA,tt0099088,"$88,277,583","Universal Pictures, Amblin Entertainment"
Searching for Sugar Man,2012,PG-13,"Documentary, Biography, Music","Stephen 'Sugar' Segerman, Dennis Coffey, Mike Theodore, Dan DiMaggio","Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez.",English,"Sweden, UK, Finland",tt2125608,"$3,696,196","Red Box Films, Passion Pictures"
Road to Perdition,2002,R,"Crime, Drama, Thriller","Tyler Hoechlin, Rob Maxey, Liam Aiken, Jennifer Jason Leigh","A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",English,USA,tt0257044,"$104,454,762",Zanuck Company
To All the Boys I've Loved Before,2018,TV-14,"Comedy, Drama, Romance","Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart",A teenage girl's secret love letters are exposed and wreak havoc on her love life.,English,USA,tt3846674,N/A,"Awesomeness Films, Overbrook Entertainment"
Molly's Game,2017,R,"Biography, Crime, Drama","Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",English,"China, Canada, USA",tt4209788,"$28,780,744","Pascal Pictures, The Mark Gordon Company"
Blackfish,2013,PG-13,Documentary,"Tilikum, John Hargrove, Samantha Berg, Mark Simmons","A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales.","English, Spanish",USA,tt2545118,"$2,073,582",Manny O Productions
El Camino: A Breaking Bad Movie,2019,TV-MA,"Action, Crime, Drama","Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker","Fugitive Jesse Pinkman runs from his captors, the law, and his past.","English, Spanish",USA,tt9243946,N/A,"American Movie Classics, Sony Pictures Television, Netflix"
The Invisible Guest,2016,TV-MA,"Crime, Drama, Mystery, Thriller","Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Spanish,Spain,tt4857264,N/A,"Atresmedia Cine, Nostromo Pictures"
Song of the Sea,2014,PG,"Animation, Adventure, Drama, Family, Fantasy","David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan","Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.","English, Irish","Ireland, Denmark, Belgium, UK, France",tt1865505,"$857,522","Cartoon Saloon, Irish Film Board"
End of Watch,2012,R,"Action, Crime, Drama, Thriller","Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.","English, Spanish",USA,tt1855199,"$41,003,371",Le Grisbi
The Evil Dead,1981,NC-17,Horror,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker","Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",English,USA,tt0083907,"$2,400,000",Renaissance Pictures
About Time,2013,R,"Comedy, Drama, Fantasy, Romance, Sci-Fi","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",English,UK,tt2194499,"$15,322,921",Working Title Films
Kung Fu Hustle,2004,R,"Action, Comedy, Fantasy","Stephen Chow, Xiaogang Feng, Wah Yuen, Zhihua Dong","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.","Cantonese, Mandarin","Hong Kong, China, USA",tt0373074,"$17,108,591","Beijing Film Studio, Columbia Pictures Film Production Asia"
,,,,,,,,,,
Y Tu Mamá También,2001,R,Drama,"Daniel Giménez Cacho, Ana López Mercado, Diego Luna, Gael García Bernal","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Spanish,Mexico,tt0245574,"$13,839,658",N/A
The Naked Gun: From the Files of Police Squad!,1988,PG-13,"Comedy, Crime","Leslie Nielsen, Priscilla Presley, Ricardo Montalban, George Kennedy",Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,English,USA,tt0095705,"$78,756,177",Paramount Pictures
Mud,2012,PG-13,Drama,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland",Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,English,USA,tt1935179,"$21,590,086","Brace Cove, FilmNation"
The Edge of Seventeen,2016,R,"Comedy, Drama","Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",English,"USA, China",tt1878870,"$14,431,633","STX Entertainment, Gracie Films"
Lagaan: Once Upon a Time in India,2001,PG,"Drama, Musical, Sport","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Hindi, English","India, UK",tt0169102,"$909,043",N/A
Tucker and Dale vs Evil,2010,R,"Comedy, Horror","Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss",Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,English,Canada,tt1465522,"$223,838",Kintop Pictures
The Matrix Reloaded,2003,R,"Action, Sci-Fi","Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu","Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.","English, French",USA,tt0234215,"$281,576,461","Warner Brothers, Silver Pictures"
The Two Popes,2019,PG-13,"Biography, Comedy, Drama, History","Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco","Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","English, Spanish, Italian, Latin, Portuguese, French, German","UK, Italy",tt8404614,N/A,"Lotus Productions, Netflix, Kramer &amp; Sigman Films, Rideback"
The Last Samurai,2003,R,"Action, Drama","Ken Watanabe, Tom Cruise, William Atherton, Chad Lindberg",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,"English, Japanese","USA, New Zealand, Japan",tt0325710,"$111,127,263","Radar Pictures, Warner Brothers, Bedford Falls Productions, Cruise-Wagner Productions"
The Florida Project,2017,R,Drama,"Brooklynn Prince, Christopher Rivera, Aiden Malik, Josie Olivo","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.","English, Spanish, Portuguese",USA,tt5649144,"$5,904,366","Cre Film, June Pictures, Freestyle Picture Company, Cinereach"
13th,2016,TV-MA,"Documentary, Crime, History, News","Melina Abdullah, Michelle Alexander, Cory Booker, Dolores Canales",An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,English,USA,tt5895028,N/A,Netflix
,,,,,,,,,,
Dolemite Is My Name,2019,R,"Biography, Comedy, Drama","Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson","Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",English,USA,tt8526872,N/A,Netflix
Tarzan,1999,G,"Animation, Adventure, Family","Brian Blessed, Glenn Close, Minnie Driver, Tony Goldwyn",A man raised by gorillas must decide where he really belongs when he discovers he is a human.,English,"USA, UK",tt0120855,"$171,091,819","Walt Disney Pictures, Buena Vista Pictures"
The Platform,2019,TV-MA,"Horror, Sci-Fi, Thriller","Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"Spanish, Italian",Spain,tt8228288,N/A,Basque Films
Okja,2017,TV-MA,"Action, Adventure, Drama, Sci-Fi","Tilda Swinton, Sheena Kamal, Michael Mitton, Colm Hill","A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","English, Korean, Spanish","South Korea, USA",tt3967856,N/A,"Kate Street Picture Company, Plan B Entertainment, Lewis Pictures, Netflix"
